episode,length,total_reward,avg_q,exploration
345,501,473.0,77.25784301757812,0.1789405195627506
346,501,441.0,74.19766235351562,0.17805026822164238
347,501,437.0,72.42849731445312,0.177164445991684
348,501,477.0,77.66181945800781,0.17628303083749652
349,501,473.0,74.76653289794922,0.17540600083332988
350,501,485.0,74.05020904541016,0.17453333416251732
351,501,471.0,74.94287872314453,0.17366500911693267
352,501,393.0,76.13895416259766,0.17280100409645044
353,501,467.0,66.9559097290039,0.17194129760840843
354,501,481.0,73.39128875732422,0.1710858682670731
355,501,449.0,75.03360748291016,0.17023469479310757
356,501,459.0,71.02320861816406,0.16938775601304237
357,501,473.0,71.01344299316406,0.16854503085874864
358,501,441.0,68.93679809570312,0.1677064983669141
359,501,437.0,73.42980194091797,0.1668721376785215
360,501,451.0,74.33879089355469,0.16604192803832987
361,501,431.0,71.41422271728516,0.1652158487943581
362,501,359.0,71.89401245117188,0.16439387939737127
363,501,471.0,68.59744262695312,0.16357599940036943
364,501,225.0,67.98615264892578,0.16276218845807905
365,501,439.0,68.67430877685547,0.16195242632644682
366,501,459.0,68.64775085449219,0.16114669286213615
367,501,319.0,68.72981262207031,0.16034496802202602
368,501,449.0,69.97248077392578,0.15954723186271247
369,501,445.0,66.3305435180664,0.15875346454001243
370,501,461.0,69.75411987304688,0.1579636463084701
371,501,385.0,67.57418060302734,0.1571777575208658
372,501,447.0,67.64297485351562,0.1563957786277272
373,501,479.0,67.1131591796875,0.155617690176843
374,501,-83.0,64.77180480957031,0.1548434728127791
375,501,477.0,63.88046646118164,0.15407310727639714
376,501,471.0,65.43555450439453,0.15330657440437528
377,501,343.0,74.54985809326172,0.15254385512873164
378,501,467.0,76.7425537109375,0.15178493047634992
379,501,465.0,65.75737762451172,0.15102978156850738
380,501,481.0,67.55974578857422,0.15027838962040538
381,501,449.0,72.04554748535156,0.14953073594070188
382,501,473.0,67.54852294921875,0.14878680193104665
383,501,473.0,68.71671295166016,0.14804656908561858
384,501,473.0,68.73793029785156,0.1473100189906653
385,501,453.0,69.74860382080078,0.14657713332404507
386,501,473.0,67.8194351196289,0.14584789385477123
387,501,469.0,69.52518463134766,0.14512228244255845
388,501,447.0,72.43934631347656,0.1444002810373716
389,501,455.0,76.2267074584961,0.14368187167897672
390,501,427.0,70.7933120727539,0.14296703649649428
391,501,489.0,70.9928970336914,0.1422557577079545
392,501,467.0,72.17974853515625,0.14154801761985525
393,501,471.0,67.19356536865234,0.14084379862672167
394,501,495.0,64.17283630371094,0.14014308321066835
395,501,463.0,67.45256042480469,0.13944585394096354
396,501,459.0,62.00185775756836,0.13875209347359557
397,501,465.0,67.5286636352539,0.1380617845508414
398,501,485.0,67.93912506103516,0.1373749100008372
399,501,345.0,63.69129180908203,0.13669145273715147
